tweet,sentiment,emotion,class
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda,negative,anger,bully
lusu punda trigger aagi olaratha da,negative,anger,bully
shumma iraa malumutti punda,negative,anger,bully
years pan punda aaittu ambani mafia pathi pesuthu paaru naai,negative,anger,bully
oh my paruppu puli theviduya punda,negative,anger,bully
yes bro punda avlo soft ah iruku maami ku,negative,anger,bully
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative,anger,bully
ippaium katharu da thevudiya punda,negative,anger,bully
look semmaya iruku da punda,negative,anger,bully
prakash kena punda,negative,anger,bully
unga amma ku punda irukka ookka vara solren,negative,anger,bully
gay punda dei,negative,anger,bully
ne vangiko da punda,negative,anger,bully
appo nee punda thevdiya,negative,anger,bully
poda punda,negative,anger,bully
dai nee mudra punda,negative,anger,bully
paathutu pesu da potta punda,negative,anger,bully
morattu rofl bro mass bro poda punda,negative,anger,bully
intha punda ithaan chance nu over ah panitu irukaan,negative,anger,bully
ivaru periya punda oodra sunni,negative,anger,bully
kalusada punda dei,negative,anger,bully
adei theavangu punda,negative,anger,bully
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda,negative,anger,bully
athayea ne social media la than da sollura pea punda,negative,anger,bully
unga amma punda irukku da thayoli mavane,negative,anger,bully
ada kiruku punda,negative,anger,bully
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee,negative,anger,bully
chi gay punda,negative,anger,bully
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first,negative,anger,bully
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than,negative,anger,bully
punda punda,negative,anger,bully
good morning da punda,negative,anger,bully
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana,negative,anger,bully
ivanga oru aalu punda padathula win pana mudila pundaingala,negative,anger,bully
kena punda palvadi,negative,anger,bully
yoww ennaya moonji punda idhu,negative,anger,bully
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda,negative,anger,bully
vaiyatha ulla ilutha six pack ada dummy punda,negative,anger,bully
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha,negative,anger,bully
punda mane,negative,anger,bully
poda sotta punda,negative,anger,bully
enda punda unaku la interview eduka enna thagudhi irukuda,negative,anger,bully
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala,negative,anger,bully
ava dance punda attitude koothy lam paatha ericha punda than varuthu,negative,anger,bully
nee yaaru da tharkuri punda avan kaeta kelviku samantham illama olaritu iruka,negative,anger,bully
indha sildra punda vera,negative,anger,bully
sotta than vilum vayasu aiyrum romance punda ye varathu enjoy na ennanu keppom love apdina enna nu keppom aga motham manushan mari iruka matom,negative,anger,bully
sotta punda,negative,anger,bully
deiii punda panrathu thevidiyathanaam ethula vera soon nee sunniya umbathan,negative,anger,bully
dei mendal punda valarppu naai thayoli dhanush poola oombi polachittu pechu punda mattum nalla than ya irukku,negative,anger,bully
poda kulla punda,negative,anger,bully
fake id punda suma iraaa,negative,anger,bully
ivru periya punda poda sunni,negative,anger,bully
dai thayoli elumbaa fdfs filla panna vakku punda illa idhula poster pathi pechu pundalaam thevayaa daa unakku originald la vaada potta elumbaa,negative,anger,bully
ada lusu punda kasol isplace in himachal pradesh gaaji koothiyane,negative,anger,bully
gaaji punda dei,negative,anger,bully
mutta punda kanna nalla thorandhu paru enga aalu pannadhu,negative,anger,bully
antha padamum red gint than da kulla punda,negative,anger,bully
kena punda,negative,anger,bully
kena punda itha thukitu vara ivalo neram gomma punda,negative,anger,bully
dai bommer punda poda,negative,anger,bully
proof kaattraaa punda,negative,anger,bully
poda punda,negative,anger,bully
poda punda,negative,anger,bully
poda punda puli okk loss than beast loss ha yaara nee,negative,anger,bully
gotha punda,negative,anger,bully
nkp flop nu solra mutta punda lam yaarnu paatha anil pundaga dha vera evanum flop nu solla matan,negative,anger,bully
fake froud punda,negative,anger,bully
zee news ella news laium potanga indha thevdiya pasangaolu vitu suthranga adhum nambura mada punda thevdiya maganeh,negative,anger,bully
angutu poi oombu jhon kokkan tweet poi paaru ila sundar tweet ah poi paaruda pea punda therinaaiku porandha thevdiya maganeh,negative,anger,bully
dei mental punda rcb match continous lsing team da mayiru mumbai all matches win oru punda arivuyum ila csk women teamum ila,negative,anger,bully
owner ambani dhan da csk kita lam women teame ilaye adhan dhoni poi women ku support srini mama kita keklaya nu ketan da punda,negative,anger,bully
rendu peru mention pannan srini mama and dhoni adhan ketan yara sonnanu samadha punda ila ma pesu hari,negative,anger,bully
sunni mathiri dp punda,negative,anger,bully
neengala kadha punda uda koodathu da sunni,negative,anger,bully
motivation lam irkatum first srini mama kita soli women team form panna solu da punda,negative,anger,bully
gomma punda,negative,anger,bully
po da punda,negative,anger,bully
ava enkita epavum pesa matta enaya parthale poda punda nu tha soluva neeye pesu da poi dm la,negative,anger,bully
mairu bala thevidiya payale amai thevidiya punda,negative,anger,bully
ama ivaru periya cid punda orama poda tharkuri nayaeee,negative,anger,bully
neinka matum than hack pannuvenkala punda nankalum pannuvom next pushi anand number release aakum paakiriyaa,negative,anger,bully
revenge is revenge da punda canada thayooli ne matum than hack pannuviya nankalum pannuvom,negative,anger,bully
poda froud punda,negative,anger,bully
oombiye valranda thevidya magan komali punda,negative,anger,bully
fitness vechu ena pana ipl la verum cup than adichurkan varushathula mada punda dhoni rohit varushathula cup,negative,anger,bully
garbage movie ah adhu yenna et nu ninaichiya da punda ask ur kullan family member theatre he ll say whodoing garbage movies amp whothe king of box office,negative,anger,bully
nellai laam oru ooru punda neeyallam oru aaalu punda,negative,anger,bully
neeyallam oompa than di laayaki kandroli oru match kooda adichi tharla moonji pundaya mattum soga pundaya vachikuva pee punda queen aam queen koothy queen kandroli,negative,anger,bully
indha punda update thara maran next year dhan pola,negative,anger,bully
dai otha neeya periya mafia punda otha ongala yennaki eppadi suuthu addika poorangalo appo erruku da onnaku ommala,negative,anger,bully
unoda pn padam dhanda thevdiya punda una mari aalunga naala dha fans kulla sanda varudhu otha dei vekama ilaya da sothu la uppu pota thingara ila pii ya thingaraya da bunda mavanea,negative,anger,bully
duckmaster liton das kangaladesi punda,negative,anger,bully
fans kulla fight varthae unna maari punda naalatha,negative,anger,bully
editing da punda,negative,anger,bully
ennamo tamil la ajith than athiga filmfare vachuruka maari pechu punda filmfare vachu irunthum vijay kaal kila than irukan mr ajith vijay movie telugu celebration ithu maari video ajith ku onnu kaatu da aamai,negative,anger,bully
seri thunivu nalla padam illa vera edhu nalla padam sarkar bigil mersal master theri beast varisu idhelam nalla padam apdi dhana pee punda oru off beat film panradhuku dhill punda kedaiyadhu commercial masala illana vijay zero da accept the reality,negative,anger,bully
amah broh avan lusu punda,negative,anger,bully
uncle ne ena vida china paiyana dai kelatu punda summaa iruu daa,negative,anger,bully
agent tina dha rolex vida talk of the town ah iruthuchu andha time la athuvu illama rolex character ah picha pottathu loki picha eduthathu surya edukurathu picha ithula egathala punda vera,negative,anger,bully
apa neium itha video va pathutu sirichutu tha irunthiya da piyyan kulla punda,negative,anger,bully
mohan tnr bfc la plan ennava irukum ennava irukanum neenga enna ninaikuringa siva sakthi injury nala,positive,surprise,non bully
vikraman fan nu proof lam thevaye padathu kamalii nama fandom ku kudukura respect how we treat our own fandom genuine ah irukanum adhuku proof theva ila,positive,sad,non bully
namma karuthu makkaluku nallatha irukanum madam,positive,fear,non bully
muttu na ipdi irukanum hari nadar jeichalum paravala uma nallavan,positive,happy,non bully
transformation ah ipdi irukanum,positive,surprise,non bully
niyathin pakkam epavum irukanum,positive,happy,non bully
thirudanuku thael kothuna mari pothitu irukanum nenga pesuna desha bakthi ah da nanga pesuna thapa da,positive,disgust,non bully
daii kiruku bunda goundamani senthil kuda sattaiya kaltti padathula vanthanga six pack illana muditu irukanu vjs broke panran adutha join pana kudathu namma kita illana sunni sathitu irukanum,negative,disgust,non bully
rendu perum same time onlinela irukanum thambi,positive,happy,non bully
irukanum nu asa patanga ana illa irunthalum promote panuvom nu panitu irukaga,positive,sad,non bully
doctor saar avaru public ah cure for autism testing the autism medication nu poi solluradha padichitu vandhunippafi oru urutu uruturenga na neenga evolo peria aala irukanum doctoreh,positive,fear,bully
athu taste ah irukanum illana mothama oothikum,positive,fear,non bully
ama negative shade character nu pottu irukanum,positive,fear,non bully
sari sari kudichitu amaithiya irukanum sariya,positive,fear,non bully
story plot heavya irukanum ninaipom asaulta allow pannida kudadhu adhuku avan podra effort seducing balama irukanum,positive,sad,non bully
aang summa ne ivankoodatha irukanum ne iva koodatha irukanum nu yarune theriyadha rendu peruku munna pinna feeling onnu kodukama indha poi onna vaazhuganu urge kulla thalluradhu parents thana ippola neria peru veetla force panragakagatha mrg eh panraga,neutral,fear,non bully
innaikku naanum try pandren but athukku avan number ah car pinnadi pottu irukanum avanum car la irukanumee,neutral,sad,non bully
umpu thevdiya paya sunni soothadi kuduthachu punda muditu irukanum vaai punda than,negative,anger,bully
nov anna entry mass ah irukanum arrange pannidunga,positive,happy,non bully
dai rrr popular aanathula irunthu thodarnthu vayiru eriyura kootam namma kottam than atha vidu oscar vanguna apram athuku congrats sollanum illa moodikittu irukanum enga kitta award iruku nu sonna athuku peru enna vayithrichal thana atha sonna thappa,neutral,sad,non bully
ithukku than solrathu namma aaal oruthan ulla irukanum nu tq sirrrr,positive,surprise,non bully
anthaa payam irukanum uupicis,negative,disgust,bully
unna paatha paavam ah iruku di ipdi aayitiye kadaisila unnoda palaya tweets ella eduthu pathu padichu sirichutu iruka inimel moodikitu irukanum seriya ipodheku kelambura bye di darling enkita vechen ipdi dha irukum nelama,negative,disgust,bully
amith mathiri oru friend sindhu mathiri oru wife amp adithya mathiri oru friend ithellam kedaikanumna konjam kudigaranaa attitudeirukanum,positive,happy,non bully
thevidya payan ulla dha irukanum yaarum thappa padikadhinga what meant was education should be useful not to be wasted like this iyervaal,negative,surprise,bully
anna tharama irukanum industry alaranum anna,positive,surprise,non bully
indian team nala ini oru icc cup um adikka mudiyathu adikka maattanunga apdi icc cup adikanum na pant captain ah irukanum ruturaj amp samson team la irukanum itha nadantha than cup adikka atleast chance iruku,neutral,sad,non bully
arr already tamilnadu oscar vaangi romba naal aachu really rrr deserved we proud that got oscar as indian we shud proud but if come to comparison for this one then arr already bagged oscar to tn so pocha muditu irukanum golts congratulations team,negative,anger,bully
namakkul irukkum valigal aayiram athai velikattamal epothum naam santhosama irukanum itha na unga kitta kathukitten nanbaney,neutral,sad,non bully
sandhula update ah irukanum idaila kya matter water nu vandi era koodathu,neutral,disgust,non bully
thala seevaradhu seevama varadhu avaroda thanipatta viruppam padathula andha look mass ah irukka should appreciate avlothan on screen laiyum off screen laiyum ore maari irukanum nu soldrathu lam,neutral,sad,non bully
enna aanalum jolly ah irukanum,positive,happy,non bully
niyathin pakkam irukanum,positive,happy,non bully
chennai odi also nitin menon dhaan umpire ah irukanum you can see all your favourites alltime,positive,happy,non bully
revenge na ipadi tha irukanum,positive,happy,non bully
low bp varum salt crctaa irukanum athigamavum iruka kudathu kammi yavum iruka kudathu,neutral,happy,non bully
athu left curve athu onum right curve kidaiyathu kandipa antha car avalvu right side poi iruka kodathu poi irunthalum left eduka try pani irukanum unga car mathiri inside la camera iruntha antha driver enna panikitu irunthu iruparunu theriyum,neutral,happy,non bully
pan india padam naale action fantasy apdi irukanum nu expect panranga athan problem,negative,sad,non bully
tasmac and school evlo distance irukanummean orey street la tasmac and schools irukalam ma,neutral,sad,non bully
ma neee inimel unnoda daughter kaka nalla iru pathukkao ok va avalukku dream favorite pudicha madhiri job sports or everything accept panni congratulations panni vali anupu and innoru vishyam fake guys kitta irundhu unnoda ponnu ku eppidi strong uh irukanum,positive,happy,non bully
happy birthday machan treat kudukama poiduviya niii inimelachu kurumbu pannama irukanum,positive,happy,non bully
yess annan oru pakkam jai bhim oru community pathi padam edupan thambi inoru pakkam muthaiya kuda inoru community pathi padam pannuvan itha pathutu oorkula communal violence vanthum orthar inorthar aa adichitu saavanum aana ivanunga santhosam aa irukanum,neutral,sad,non bully
editor oru avadhara purushan ah dhan irukanum,neutral,sad,non bully
congratulations both kadasi vara ipadiya positive vibesoda rendu perum irukanum,positive,happy,non bully
ipdiyea irukanum oli agamaa irukanum kadavulea,positive,fear,non bully
varusam bjp kaala pudichi aatchi senjappo intha veeram irunthu irukanum,positive,sad,non bully
antha bayam irukanum da sanghi,negative,anger,non bully
enga ponalum thirubi poga oru veedu venum athunala namaku puduchavaga irukanum ilana entha travel um nalla irukathu bro,positive,sad,non bully
semma profit aana next movie ku director illa neelam inniyaram seththu irukanum da deii aamai munda,negative,anger,non bully
pala naala expect panitu iruntha movie andam totally disappointed except sir matha ellame sothapal next padam sambavama than irukum irukanum namburom,neutral,sad,non bully
neenga la kadaisi varaikum ipdi pesittu mattum tha irukanum first oru director ah olunga choose pana sollu antha avana,neutral,disgust,non bully
gentle man na married ah irukanum ah,neutral,sad,non bully
first time vijay preponed his movie release before diwali bcoz diwlai locked for antha bayam irukanum daa effect,positive,anger,non bully
kalutha pudichite ukkandhu irukanum station varaikum idhukagave neraya vati door kitte stading la varuve,positive,surprise,non bully
deep analysis super sir,positive,surprise,non bully
super,positive,happy,non bully
super ponga,positive,happy,non bully
super super annaam waiting,positive,happy,non bully
super morning,positive,happy,non bully
super na,positive,happy,non bully
super appo no alliances with admk thanaae,positive,happy,non bully
ok mams super,positive,happy,non bully
super ji,positive,happy,non bully
super tholi,positive,happy,non bully
rd sema comedy super thambi,positive,happy,non bully
super,positive,happy,non bully
sema super ah irukku ivlo kammiyana idathula kana katchithama stylish kattirunga valthukkal,positive,surprise,non bully
naan inniki concert poren such an inspiration he ism super excited,positive,surprise,non bully
super idea boss,positive,surprise,non bully
oh super na abuse pannana wharey whaaa enga kudunga papom,positive,surprise,non bully
akila ulaga black hole super star,positive,happy,non bully
nee yarukku vote potta ivanuka,positive,surprise,non bully
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative,anger,bully
yevanavathu tweet potta odanea copy old elam pathachu semma adi pola la pathachi fulla unaga dala ya kaluvi uthirikaga,negative,disgust,bully
kannukku munnaadi oru periya katchiyae attaya potta unnaye evanum ketkala ithava ketka poranuga pavamda makkal ungala mari thirudanuga kitta mattikttanga,positive,fear,non bully
avanga shivik pota ignore panna soldringa athe maari engaluku shivin pudikala nanga crop panni potta ignore pannitu poga vendithane en quote panni katharanum ivlo per vanthu neenga avangala sollama engata sollitu irukinga,positive,sad,non bully
marfin pic potta nena pa bro,positive,disgust,non bully
hrs engayoda trip poitu vandhu aduchu potta mari thoongitu irundha,neutral,sad,non bully
amala ji next dalai padathula heroine nadikuranga th scene la rubber pudiji aaruthu vitu poda potta nu solranga nama madam padathula mukkiyamana emotional scene,negative,happy,bully
hai nega potta photos samaya irukku,positive,happy,non bully
poda potta pundai,negative,anger,bully
paathutu pesu da potta punda,negative,anger,bully
virat potta podhum,positive,sad,non bully
ohh music potta tha award kodupigala ennoda adutha padathula na tha music director podu da bgm,positive,happy,non bully
wait for outsiders they will give an initial to ur daughter son potta thayoli,negative,anger,bully
dai potta nalla vandhurum olunga idiru,negative,anger,bully
fake id vachu pottaah thaan ilupaanunga,neutral,sad,non bully
paragraph type panu azhudhuteh potta thevdiya indha azhuvu azhuvudhe,negative,anger,bully
poda potta toili,negative,anger,bully
ithula potta cheeyan uncle ah,negative,disgust,bully
nee potta bunda nu nenachen poda comali,negative,anger,bully
dei thayoli naan ne potta ss ku sonan,negative,anger,bully
yabbah konjanerathula nee potta uruttula naanae maatirupen justu missu nalla urutra man nee,negative,happy,non bully
nee yaruda panda karadi ku pant shirt ah potta madhiri volunteer ah vanthu vandila yerura,negative,disgust,bully
savukku ku koduthuttu meedhi dhan madesh eduthutu ponarunu madan clear uh solrare neenga madesh elathayum aataya potta madri narrative set pannitu irukinga,negative,sad,non bully
hmm appo keeravani better than ilayaraja nu post podu ambalaya irundha potta,negative,anger,bully
potta paiya,negative,anger,bully
dai thayoli elumbaa fdfs filla panna vakku punda illa idhula poster pathi pechu pundalaam thevayaa daa unakku originald la vaada potta elumbaa,negative,anger,bully
ari da potta,negative,anger,bully
naanum ambala than nanum aambala than moment potta koothi,negative,disgust,bully
nee potta enna podalana enna unnoda kanna paththu naan enna panna poren,neutral,disgust,non bully
potta naaye dei maadesh,negative,anger,bully
potta anils,negative,anger,bully
ambalaya junni ah iruntha antha admin bundaya space ku kootitu vaa potta matri page la pottu buluthuna periya maira avan panrathu mollamaari thanam ithula periya pudingi matri vera pesraan,negative,anger,bully
apdiya full ah potta nangalu papom la,neutral,sad,non bully
komma soothula ommbuchu kodi poda amai koothi potta koothi,negative,anger,bully
poda potta,negative,anger,bully
indha comment ah andha page la potta nallarukkum,positive,surprise,non bully
ohh athan unga anna biriyani meeting potta appo phone media allow pannalayo,positive,surprise,non bully
thu pothuva potta pathivu ithana per enna nu kekka vanthanga paathingala ellarumey comment ku reply pannala pola,positive,surprise,non bully
promo la epdi ney teriyum athukulla epdi judge panreng fans naama pesrathu vera page post podrathu vera leo hype is because of loki nu oru tweet sfc page potta ineram enna enna solli irupenga,positive,surprise,non bully
john suriya potta picha theriyama video edit pannitu irukan piyaan kulla kuthi fan,negative,anger,bully
appan yarunei theriyadha anadhai tevdiya paya un address engada theru porukki first unaku ella irukanu paru appala aduthavana umbu avar illana unakei address mayiru oru pundaiyam illai nee ellam pesalama de first goppan yarunu therinjuttu vade potta thayoli,negative,anger,bully
ipadi emoticon potta neenga innum oru dozen time visit panni confuse aaganum,positive,surprise,non bully
da da vera level movie coffee,positive,happy,non bully
ath vijay fans konjam sollunga suriya kk ethachum oru update tweet potta vandh kadharama irukka enak unkooda fight panna virupam ila na fans panrath than solren illathath ethum sollala,neutral,fear,non bully
sontha dp vaikka theriyatha potta orama poi oombuda,negative,anger,bully
pooda potta,negative,anger,bully
lokesh vijay ku sr prabu potta pichanu therichum veliya katikama suthum thevagugala,negative,disgust,bully
Pakathootu ponnu vena  atleast dhoorama iruka ponnachu venum la,neutral,sad,non bully
Summave iruka maaaatan pola,negative,disgust,bully
Maxx  Zayn    Nanu antha list ila iruken ipo tha kevalama iruku ivana poi pethu iruka Nu,negative,disgust,bully
Aditi yum iruka  apo duet song tah          Maaveeran  Kartikeyan,neutral,happy,bully
Athula mothalla song iruka da,neutral,surprise,non bully
Twitter circle iruka or WhatsApp group  Interested in next session,neutral,surprise,non bully
Inga iruka heroes padathaye ott la thaan paapanunga idhula adutha state hero ku vaai vakkiradhu,negative,anger,bully
Cake cutting iruka ah,neutral,surprise,non bully
shorts Ullathiley nee irukka unnai nambi Nan iruka  Dr  Seergazhi S        via,positive,sad,non bully
