tweet,sentiment
neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,positive
prasann Una Dan kalaika mudium enaku Vera yar iruka guys la friends,positive
Epdra iruka,positive
Apdiya  Even though I know many people who liked Vikram more than Kaithi and it has proofs like the highest collection movie of lokesh's direction and also in rating wise Vikram got more and highly impressed by many people  Un ista mayiruku pesuna ketutu iruka mudiyathu da baadey,positive
Jeichite iruka mudiyaathu ella time um ella seriya pogathu peak paatha actors  legends eh flop kuduthu irukanga  Thatti vidu,positive
Epdi iruka man  Paathu romba naal aachu,positive
Ithu dhan indha thittathoda flip side   Varushathula ella naalum vayal velai iruka porathilla   Overall ah season time illadha naatkal ah pathu indha     days schedule panna yarukum problem irukathu,positive
Evalo cuts tha vachu iruka,positive
queen na character nalladhaan irundhu aganu  illena yaru respect panuva  queen na ve iruka modiyadhe   i cannot stop tactics  good tactics may also be there  until i know whats tactics,positive
kamaraj Vote podatha bro unagaluku pudikalana   dmk matrum athan tholamai katchikum nexr time   yaru ithukulam serethu poraduvangalo avunga kuda travel panuga  nan en thalivar mela iruka patrula polambitu irukan,positive
So cool     Vaathi kannadiyum tshirt la iruka kannadiyum same to same   Vikraman  VaathiVikraman,positive
Una madri actually iruka mudyadu theryuma    You trust and love everyone    Romba deep ah avangala analyse pani judge panradhu illa   You behave based on what you see  apo apo influence mattum aidra  But neeya mudivu pana you like people for who they are,positive
Me to me   Silanal Nalla jolly ah iruka  Sila nall sogama iruka  Purinjiko machan Love yourself,positive
Intha Mathiri ipo oru Movie pananumnu aasa irukum but mudiyathu Avara suthi Iruka Business antha alavuku agiduchu,positive
Pinnadi Iruka Pani ah vida bright ah iruka thala,positive
Kitchen la kooda women dominance iruka koodathu nu Cooking kathukuravan than da unmayana Misogynist,positive
Lokesh      Bro indha paiya oda page link Iruka bro    Vera level sambavam pannirukaru    Subscribe panna and avaroda more videos pakka  wait pandra,positive
anbue   Arunvj    baanu  jasmin        JD        Unga tweet error    Celebrity iruka vendiya iduthala small ur varum broww,positive
TeaShop open pannu bro  IT Companies Adhigama  Iruka Side  Neeye Ukandhu Vela Paaru    Then Neeye Raaja Even Yaaraiyum Edhir Paakama Olacha Nalla Padiya Irukalam,positive
kuzhals   Except few  age la maturity ah iruka vaipilla   andha few also will get maturity based on experience in short span of exposure to variety of humans Now it's probably due to digital yugam more exposure is happening to children,positive
Indha pic Hd Iruka,positive
Athu padi iruka kudathu mams audio launch la apo tha ithu perusa therinchu irukum,positive
avi nash  Ayalaan lam release aavum nu nambikka iruka na,positive
Maaveeran Ayalaan SK   SK VP      padam kanaku crct ah iruka,positive
Dei Netflix iruka,positive
thala itha dhan nee   masama sollitu iruka  i really admire your political knowledge,positive
Raja rajacholzaroda perana pa nee ila entha natuku raja va iruka,positive
Failure story nu potathala than padikave start panna success nu potu iruntha paduchu iruka matan  Yappavume failure story la than oru interest iruku,positive
erode east election area la iruka ellarukum ithe mathri  Raja  life than DMK kudukuranga nengalum ponga ungalukum kedaikum   Election varaikum nengalum Raja   than,positive
SemayA iruka,positive
Enga area la elar veetlayu garden maintain panuranga  Iruka konjam place la,positive
Enga side Keka vendiya avasiyame illa Bro    Andha page arambichadhula irundhu pona Superstar bday varaikkum ungalukku support thana panitu irundhuchi andha page    Oru limit ah thandi pona    followers Iruka id oo    k Iruka id ohhhh  React Pani dhan avanum,positive
En manasula iruka barame koranjuruchu,positive
Rajini ku blockbuster iruka,positive
Indha interview link Iruka,positive
Navv Danny anna Marvel movie lam iruka na   Periya aal poliye ne Singam,positive
umar    offll I don t think so velinaatukaran low cost labor demand iruka varaikum inga ela IT industry work aagite irukum,positive
MA Fighter Id still iruka,positive
Nice bro   anga Indian shops lam Iruka,positive
En manasula iruka barame koranjuruchu  seri enga ipdi unpopular opinion solli oorula kadichi vekka poranga nu dhaan pesave illa,positive
Gumunu iruka,positive
Ipo than Manasu la iruka Pain la pona madri  oru feel Tks Bro    Endrum nan MakkalNayaganAzeem  Fan,positive
s Entha Mari anupavam iruka,positive
Idhe mathiri few years back  naanum WhatsApp chat Inga share panne  en team la iruka oru paiyan comment la vandhu  boss ningalaa idhu nu shock kuduthutan,positive
Stan  Unnala movie ripper kitaiyae pesiten da    vera sunnxt iruka nu ketruken papom,positive
Ajith varapa kootam iruka pic podu da,positive
Annan oru vartha Sona Tamil Nadu la iruka ennamadri ntk katchi ilatha pilaigal pathukapukaga Annan pinala nippom,positive
Athreyada offl Anna saapdrathula enna puthusa Iruka poguthu     Just troll avlo than athum fans ah than   free ah vidunga,positive
Yepdi iruka,positive
Kartikeyan   Edho Iruken Madam  Enna Nyabagam Iruka,positive
BEmech Good when they come enaku clients iruka oor lam inum varala    Soon,positive
Nee Nalla Dhan Iruka,positive
Epdi Iruka,positive
tweete     Lyca Tweet Iruka,positive
Nethan clg life enjoy panitu thana iruka,positive
Idha dhan kaalam kaalama school la iruka aayanga pannitu irundhanga   The western world is just catching up with it,positive
Unaku yena pa jolya iruka,positive
sivam   Nala iruka,positive
Rajeshlms  Annna  link iruka,positive
dhoorathula irundhu romba azhaga iruka dhevadhai ku nalam virumbi avlodhan     she s beautiful not just because the way she looks  but the way she behaves,positive
Enaku varisu deleted scene venum adhu iruka nu sollunga,positive
When someone says  En machan single a  iruka   commit agidu life jollya irukum  getha irukum   Le me,positive
buddy chennai laya iruka,positive
Adatum vidunga konja neram jollya irukatum   ipo iruka pasanga lam mobile tv laptop ney irukanga   intha kolanthayachum veliya vanthu vilayadatum,positive
Sun nxt water mark oda iruka,positive
Tamil iruka,positive
Chennai la iruka elarum safe pa iruka,positive
BindhuR            Ippadiye usuppu ethi vidunga   thala erkanavey hit list la iruka pola   takkunu comment ah Maathi naan appadi dhan da pannuven sollida poraru,positive
Yov Admin uh Neemattum than ya enmala pasama iruka time ku crct aha sapda solli notification Send pannidura  Nee enga iruthalaum Nalla irupa ya,positive
Guys intha tweet la yethum tappu Iruka,positive
Suriya    ethum update iruka bro,positive
Boss Bakrid      is my guess    Maaveeran vs Agilan ah iruka neraya vaipu iruku   lets wait and watch,positive
Enoda old side lam nabagam iruka nae,positive
Mens clothes la avlo discrepancy iruka enna,positive
Ellarum polambitu iruka post la vandhu  oruthan mattum flex pannitu irundhan,positive
Sk vachi poda theriyum fan fights lam vendam nu iruken   Athu yaen ena vida elder ah iruka avaruku puriya maatinguthu,positive
Namma ovr apdi ipdi nu aaduna kooda last over la neraya game jeichom adhuku kaaranam Namma batting Hussey Faf Jaddu  Ms Raina  Ivangaluku adhudhan polappe Namma team la  Bravo edhadhu oru match dhan apdi aadi irupan adhu kooda naama nambi iruka maatom,positive
ennapa ellarum thidirnu ipdi kilambureemka urutta iruka pothu,positive
paravalaye inu nyabagam iruka,positive
Paatta Intha print la full movie link iruka bro,positive
Prime la iruka,positive
Konja neram sandhosama iruka vidringala da,positive
movieholic  Karthick Neyum en vibe la dhn iruka,positive
Oh innu    varusham iruka     Talk to some one in early twenties    Today is tat    years,positive
rg Full video link iruka,positive
Aparam epadi theriyama iruka,positive
Ohhhh kilamburadhula ivlo iruka,positive
me  Hema Pic   iruka  um favorite,positive
Manusan vaazhndhaan ya Idhu correct ah iruka,positive
enna nei jolly ah iruka pola,positive
Man   Epdi iruka,positive
Trailer late ah parthavanga like podunga,Positive
Move pathutu vanthu trailer pakurvnga yaru,Positive
Puthupetai dhanush  ah yarellam pathinga,Positive
"Dhanush oda character ,puthu sa erukay , mass ta",Positive
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive
Thala mass . U1 bgm.     Vera level,Positive
kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive
Aiyoo thala mass pannita thala,Positive
Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive
Viswasam trailer paathutu Inka vanthavanga like panuga,Positive
Maran  kattu kattitamnue verithanam thaliva,Positive
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive
Kanithan and mugamoodi Neenga nambalainalum ithan nesam,Positive
Enakku iru mugan trailer nyabagam than varuthu,Positive
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive
1 hour 1 million likes,Positive
Raww vana padama iruku  all the best,Positive
Thalaiva.. full Support from kerala Mohanlal Fans,Positive
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive
Marana mass marana style marna gethu mass trailer rajini,Positive
Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay,Positive
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines",Positive
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...,Positive
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive
Super dhanush Anna mass waiting asuran,Positive
Vera lvl thalaiva u r great,Positive
Ellam avan sayal movie mathiriya irukku,Positive
Boss you looking so handsome and young,Positive
Pattaya kelapitey Siva!!!  Awesome!!!,Positive
chitii come back I am waiting get ready to 2.0,Positive
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive
Thala da    By thalapathy fan,Positive
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Positive
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive
Semmma style... rajini sir is back...,Positive
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive
Idduke 500 va tarlam... kolla mass,Positive
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive
3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma?,Positive
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive
Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Positive
1:36 *thaa enna look-u daa saami  That bgm lit,Positive
Guyzz 1m likes vara varaikum vitraadheenga...,Positive
Velraj sir thalaivana masss a kamchirukaru vera level u,Positive
Iam vijay fan kerala and iam waiting super star's petta,Positive
thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive
Dai yaaru da athu? apadi enna da enga thala mela ungaluku Gaandu?,Positive
Iam sk fan aanaa trailer semma,Positive
Wow padam tharu mara iruka poguthu  This pongal petta diwali,Positive
Sema mass marana mass tha i love rajini,Positive
800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive
Damn..im a proud. Chiyaan vikram fan..,Positive
Enna panna porom sweet sapda porom....,Positive
Vaa thalaiva via diwali mass ur movie bikil  out,Positive
Veralevel performer Dhanush sir,Positive
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive
Super akshay sir i love u sir,Positive
Looks like he will SET SCREEN ON FIRE,Positive
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,Positive
Romba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Positive
Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,Positive
Trailer vera level athana Da....aamai kunjugala,Positive
Trailer late ah parthavanga like podunga,Positive
Move pathutu vanthu trailer pakurvnga yaru,Positive
Puthupetai dhanush ah yarellam pathinga,Positive
"Dhanush oda character ,puthu sa erukay , mass ta",Positive
Thala mass . U1 bgm. Vera level,Positive
0:28 90's kids reference Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive
Aiyoo thala mass pannita thala,Positive
Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive
Viswasam trailer paathutu Inka vanthavanga like panuga,Positive
Maran kattu kattitamnue verithanam thalivaaąa,Positive
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive
Kanithan + mugamoodi Neenga nambalainalum ithan nesam,Positive
Enakku iru mugan trailer gnabagam than varuthu,Positive
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive
1 hour 1 million likes,Positive
Raww vana padama iruku all the best,Positive
Thalaiva.. full Support from kerala Mohanlal Fans,Positive
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive
Marana mass marana style marna gethu mass trailer rajinified,Positive
Paruthiveeran Karthi Back Lokesh Kangaraj Screenplay,Positive
Diwali annante aniyan ullaltha Step back bigil,Positive
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu Superb lines",Positive
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive
Supper dhanush Anna mass waiting asuran,Positive
Vera lvl thalaiva u r great,Positive
Boss you looking so handsome ND young kekaa,Positive
Pattaya kelapitey Siva!!! Awesome!!!,Positive
Dahaaaaaaa chitii come back I am waiting get ready to 2.0,Positive
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive
1:43 Thala da By thalapathy fan,Positive
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Positive
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive
Semmma style... rajini sir is back...,Positive
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive
Idduke ?500 va tarlam... kolla mass,Positive
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive
Superb Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive
Guyzz 1m likes vara varaikum vitraadheenga...,Positive
Velraj sir thalaivana masss a kamchirukaru vera level u,Positive
Iam vijay fan kerala and iam waiting super star's petta,Positive
Oh my god .. it's rajini for you,Positive
0:52 thala looka apdiyae vechurkaru pa. Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive
Iam sk fan aanaa trailer semma,Positive
Wow padam tharu mara iruka poguthu This pongal petta diwali,Positive
Sema mass marana mass tha i love rajini,Positive
800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive
Damn..im a proud. Chiyaan vikram fan..,Positive
Enna panna porom sweet sapda porom....,Positive
Veralevel performer Dhanush sir,Positive
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive
Super akshay sir i love u sir,Positive
Looks like he will SET SCREEN ON FIRE,Positive
Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Positive
Villaina mass aa kattallayea. So sad. Villain mass aa iruntha thaa movie mass aa irukkum,Positive
doctor saar avaru public ah cure for autism testing the autism medication nu poi solluradha padichitu vandhunippafi oru urutu uruturenga na neenga evolo peria aala irukanum doctoreh,positive
Shriya  Super ah iruka,positive
Brother   apo Iruka nelama vera   ipo Iruka nelama vera   business inum apdiye va iruku    big star ooda movie epo epidi vandhalum oru MG irukanum   adhu ipodhiku Vijay ku matum dhan iruku IMO   best eg  beast,positive
Wikipedia la lam indha movie Parthi iruka a,positive
Already rendu kanathulayu naalu naalu idly adakitu iruka,positive
Drone la hidden video eduka mudiyathuda nixa     Chinna pillayave iruka,positive
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha irukanum...,Positive
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive
Dai ranjit nee idha parthu film eduka kathuko,Positive
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Positive
1:36 *thaa enna look-u daa saami That bgm lit,Positive
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,Positive
Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,Positive
Vaa thalaiva via diwali mass ur movie bikil out,Positive
Trailer vera level athana Da....aamai kunjugala,Positive
ayyappan is youtube journalist to whom you givenfireyyy ipo exposed bb corrupted na edhuku ya unga vikraman ulla en vote panuna makkaluku nandri nu kathitu eruntharu modi kum oscar kum enna ya relationship puriala,neutral
itha quote tweet panathuku nandri,neutral
aang summa ne ivankoodatha irukanum ne iva koodatha irukanum nu yarune theriyadha rendu peruku munna pinna feeling onnu kodukama indha poi onna vaazhuganu urge kulla thalluradhu parents thana ippola neria peru veetla force panragakagatha mrg eh panraga,neutral
innaikku naanum try pandren but athukku avan number ah car pinnadi pottu irukanum avanum car la irukanumee,neutral
dai rrr popular aanathula irunthu thodarnthu vayiru eriyura kootam namma kottam than atha vidu oscar vanguna apram athuku congrats sollanum illa moodikittu irukanum enga kitta award iruku nu sonna athuku peru enna vayithrichal thana atha sonna thappa,neutral
indian team nala ini oru icc cup um adikka mudiyathu adikka maattanunga apdi icc cup adikanum na pant captain ah irukanum ruturaj amp samson team la irukanum itha nadantha than cup adikka atleast chance iruku,neutral
namakkul irukkum valigal aayiram athai velikattamal epothum naam santhosama irukanum itha na unga kitta kathukitten nanbaney,neutral
sandhula update ah irukanum idaila kya matter water nu vandi era koodathu,neutral
thala seevaradhu seevama varadhu avaroda thanipatta viruppam padathula andha look mass ah irukka should appreciate avlothan on screen laiyum off screen laiyum ore maari irukanum nu soldrathu lam,neutral
low bp varum salt crctaa irukanum athigamavum iruka kudathu kammi yavum iruka kudathu,neutral
athu left curve athu onum right curve kidaiyathu kandipa antha car avalvu right side poi iruka kodathu poi irunthalum left eduka try pani irukanum unga car mathiri inside la camera iruntha antha driver enna panikitu irunthu iruparunu theriyum,neutral
tasmac and school evlo distance irukanummean orey street la tasmac and schools irukalam ma,neutral
yess annan oru pakkam jai bhim oru community pathi padam edupan thambi inoru pakkam muthaiya kuda inoru community pathi padam pannuvan itha pathutu oorkula communal violence vanthum orthar inorthar aa adichitu saavanum aana ivanunga santhosam aa irukanum,neutral
editor oru avadhara purushan ah dhan irukanum,neutral
pala naala expect panitu iruntha movie andam totally disappointed except sir matha ellame sothapal next padam sambavama than irukum irukanum namburom,neutral
neenga la kadaisi varaikum ipdi pesittu mattum tha irukanum first oru director ah olunga choose pana sollu antha avana,neutral
gentle man na married ah irukanum ah,neutral
hrs engayoda trip poitu vandhu aduchu potta mari thoongitu irundha,neutral
fake id vachu pottaah thaan ilupaanunga,neutral
nee potta enna podalana enna unnoda kanna paththu naan enna panna poren,neutral
apdiya full ah potta nangalu papom la,neutral
ath vijay fans konjam sollunga suriya kk ethachum oru update tweet potta vandh kadharama irukka enak unkooda fight panna virupam ila na fans panrath than solren illathath ethum sollala,neutral
Pakathootu ponnu vena  atleast dhoorama iruka ponnachu venum la,neutral
Athula mothalla song iruka da,neutral
Twitter circle iruka or WhatsApp group  Interested in next session,neutral
Cake cutting iruka ah,neutral
yrs kalichu IV ponapo beach ponen pona August uh ipo marubadi craving for Beaches        Oru Thallosophile ah mountain area la iruka vekranga,neutral
Eluthu oru nala vella kedaikurathu kula iruka velaya vidamatan nu eluthu,neutral
Idha dhan sonen sarkar la vara mari vitu iruka hair style nu,neutral
Space ilama than irukuradha Potrukan Space Vekka yaaru Ungoppana Space Kudupan    Lokesh Oda Carrer Best Kandipa Kaithi Than  Selva Odathu Ao Masterpiece Than  Idhu Rendume Unaku Therilana Inga yenathuku Mmbitu iruka,neutral
Gomtha Onnumey Upto datela iruka maatre yaaruda neenga   CookWithComali Upload panuraaa,neutral
Nybagam iruka  AK,neutral
Tamil la iruka,neutral
Nambala suthi aalunga irunthalum thanimai ah iruka mari feel panni irukingala sir,neutral
is a hooman neraya seasons vera  iruka adhula,neutral
Siva Yennaya panitu iruka,neutral
Hasini maari  ipo iruka ponunga  cringe tha   panuvanga so  parama poi velayapathu urupada paaru cinema nadike mathiri iva venum ava venumnu solama      Dhanush na bless u annaya,neutral
Inna mame epadi iruka,neutral
aji Ena dimps   kushia iruka,neutral
Adei namma tamil sentiments mathri avangalukum Antha sentiments iruka da  even rishabhshetty  rishab denied to do this during his interviews  Cringe ku use panitu irukanunga adei  Cringe guy Pugazh  CookuWithComaliSeason  Kantara  Don t ruin sentiments and kill comedy,neutral
Eppovum thititu irupa inaiku sogama iruka adhaan,neutral
Village areas la iruka theatres lam  innaiku than Dada va release yea panranunga Innum   or   weeks solid ah Odum   Kavin Dada,neutral
Ithu enga Ivar iruka planet la ya,neutral
dmk  Apa dmk admk rendu perum velayaduringa mmm sari nengatha avanga konduvanthatha stop pannunga avanga open pannanga avanga open pannanganu solitu iruka,neutral
Kaathunu iruka,neutral
little  Anniyan Average ah  Yamma enna ma sollitu iruka,neutral
Ungalala nalla irukanum     But ungala vida nalla iruka kudathuu    real life fact Dada,neutral
Eppa dei ennada ella padathulayum iruka,neutral
little  Beast below average dhan  Romba biased a iruka koodadhu bro,neutral
